comune,pro_com,provincia,data_inizio,data_fine,link_ordinanza,nro_data_ordinanza,proroga/cessa,PDF,nro_pgg,sovrapposizione,cessa,nro_ordinanza,data_ordinanza,area_kmq,pop_2020,note,zona
Nicolosi,87031,Catania,2021-11-13,2021-11-24,https://www.regione.sicilia.it/sites/default/files/2021-11/Ordinanza%2097.pdf,97-11112021,No,Immagine,6,,,97,2021-11-11,42.65,7551,,arancione
Limina,83040,Messina,2021-11-14,2021-11-24,https://www.regione.sicilia.it/sites/default/files/2021-11/Ord.n.%2098%20del%2012%20novembre%202021.pdf,98-12112021,No,Immagine,6,,,98,2021-11-12,9.99,746,,arancione
Monforte San Giorgio,83054,Messina,2021-11-14,2021-11-24,https://www.regione.sicilia.it/sites/default/files/2021-11/Ord.n.%2098%20del%2012%20novembre%202021.pdf,98-12112021,No,Immagine,6,,,98,2021-11-12,32.26,2634,,arancione
Pedara,87034,Catania,2021-11-28,2021-12-09,https://www.regione.sicilia.it/sites/default/files/2021-11/Ordinanza%20n.%20100%28firmato%29.pdf,100-26112021,No,Testo,6,,,100,2021-11-26,19.24,14822,,arancione
Militello in Val di Catania,87025,Catania,2021-11-28,2021-12-09,https://www.regione.sicilia.it/sites/default/files/2021-11/Ordinanza%20n.%20100%28firmato%29.pdf,100-26112021,No,Testo,6,,,100,2021-11-26,62.47,7062,,arancione
San Michele di Ganzaria,87043,Catania,2021-12-12,2021-12-20,https://www.regione.sicilia.it/sites/default/files/2021-12/Ordinanza%20102.docx%202%28firmato%29.pdf,102-10122021,No,Testo,6,,,102,2021-12-10,25.81,3136,,arancione
Itala,83036,Messina,2021-12-12,2021-12-20,https://www.regione.sicilia.it/sites/default/files/2021-12/Ordinanza%20102.docx%202%28firmato%29.pdf,102-10122021,No,Testo,6,,,102,2021-12-10,10.98,1568,,arancione
Militello in Val di Catania,87025,Catania,2021-12-10,2021-12-20,https://www.regione.sicilia.it/sites/default/files/2021-12/Ordinanza%20102.docx%202%28firmato%29.pdf,102-10122021,Sì,Testo,6,,,102,2021-12-10,62.47,7062,,arancione
Castrofilippo,84013,Agrigento,2021-12-18,2021-12-27,https://www.regione.sicilia.it/sites/default/files/2021-12/Ordinanza%20n%C3%82%C2%B0%20103%20del%2016%20dicembre%202021.pdf,103-16122021,No,Testo,5,,,103,2021-12-16,18.08,2786,,arancione
Marianopoli,85008,Caltanissetta,2021-12-18,2021-12-27,https://www.regione.sicilia.it/sites/default/files/2021-12/Ordinanza%20n%C3%82%C2%B0%20103%20del%2016%20dicembre%202021.pdf,103-16122021,No,Testo,5,,,103,2021-12-16,13.07,1737,,arancione
Motta Sant‘Anastasia,87030,Catania,2021-12-18,2021-12-27,https://www.regione.sicilia.it/sites/default/files/2021-12/Ordinanza%20n%C3%82%C2%B0%20103%20del%2016%20dicembre%202021.pdf,103-16122021,No,Testo,5,,,103,2021-12-16,35.7,12241,,arancione
Scaletta Zanclea,83094,Messina,2021-12-18,2021-12-27,https://www.regione.sicilia.it/sites/default/files/2021-12/Ordinanza%20n%C3%82%C2%B0%20103%20del%2016%20dicembre%202021.pdf,103-16122021,No,Testo,5,,,103,2021-12-16,4.76,1958,,arancione
Terme Vigliatore,83106,Messina,2021-12-18,2021-12-27,https://www.regione.sicilia.it/sites/default/files/2021-12/Ordinanza%20n%C3%82%C2%B0%20103%20del%2016%20dicembre%202021.pdf,103-16122021,No,Testo,5,,,103,2021-12-16,13.23,7366,,arancione
Butera,85003,Caltanissetta,2021-12-24,2021-12-31,https://www.regione.sicilia.it/sites/default/files/2021-12/Ordinanza%20104%28firmato%29.pdf,104-22122021,No,Testo,6,,,104,2021-12-22,298.52,4411,,arancione
Barcellona Pozzo di Gotto,83005,Messina,2021-12-24,2021-12-31,https://www.regione.sicilia.it/sites/default/files/2021-12/Ordinanza%20104%28firmato%29.pdf,104-22122021,No,Testo,6,107-30122021,,104,2021-12-22,59.14,41004,,arancione
Fiumedinisi,83021,Messina,2021-12-24,2021-12-31,https://www.regione.sicilia.it/sites/default/files/2021-12/Ordinanza%20104%28firmato%29.pdf,104-22122021,No,Testo,6,,,104,2021-12-22,36.69,1332,,arancione
Gualtieri Sicaminò,83035,Messina,2021-12-24,2021-12-31,https://www.regione.sicilia.it/sites/default/files/2021-12/Ordinanza%20104%28firmato%29.pdf,104-22122021,No,Testo,6,107-30122021,,104,2021-12-22,14.38,1657,,arancione
Milazzo,83049,Messina,2021-12-24,2021-12-31,https://www.regione.sicilia.it/sites/default/files/2021-12/Ordinanza%20104%28firmato%29.pdf,104-22122021,No,Testo,6,,,104,2021-12-22,24.7,30860,,arancione
San Filippo del Mela,83077,Messina,2021-12-24,2021-12-31,https://www.regione.sicilia.it/sites/default/files/2021-12/Ordinanza%20104%28firmato%29.pdf,104-22122021,No,Testo,6,,,104,2021-12-22,10.05,6907,,arancione
Gravina di Catania,87019,Catania,2021-12-27,2022-01-05,https://www.regione.sicilia.it/sites/default/files/2021-12/Ordinanza%20105%20del%2024.12.2021.pdf,105-24122021,No,Immagine,6,,,105,2021-12-24,5.13,25740,,arancione
Marianopoli,85008,Caltanissetta,2021-12-27,2022-01-05,https://www.regione.sicilia.it/sites/default/files/2021-12/Ordinanza%20106%20del%2027.12.2021.pdf,106-27122021,Sì,Immagine,6,,,106,2021-12-27,13.07,1737,,arancione
Scaletta Zanclea,83094,Messina,2021-12-27,2022-01-05,https://www.regione.sicilia.it/sites/default/files/2021-12/Ordinanza%20106%20del%2027.12.2021.pdf,106-27122021,Sì,Immagine,6,,,106,2021-12-27,4.76,1958,,arancione
Terme Vigliatore,83106,Messina,2021-12-27,2022-01-05,https://www.regione.sicilia.it/sites/default/files/2021-12/Ordinanza%20106%20del%2027.12.2021.pdf,106-27122021,Sì,Immagine,6,,,106,2021-12-27,13.23,7366,,arancione
Caronia,83011,Messina,2021-12-31,2022-01-12,https://www.regione.sicilia.it/sites/default/files/2021-12/ordinanza%20n.107.pdf,107-30122021,No,Immagine,6,,,107,2021-12-30,227.26,3136,,arancione
Ribera,84033,Agrigento,2021-12-31,2022-01-12,https://www.regione.sicilia.it/sites/default/files/2021-12/ordinanza%20n.107.pdf,107-30122021,No,Immagine,6,,,107,2021-12-30,118.52,18492,,arancione
Santa Lucia del Mela,83086,Messina,2021-12-31,2022-01-12,https://www.regione.sicilia.it/sites/default/files/2021-12/ordinanza%20n.107.pdf,107-30122021,No,Immagine,6,,,107,2021-12-30,85.67,4543,,arancione
Barcellona Pozzo di Gotto,83005,Messina,2021-12-30,2022-01-05,https://www.regione.sicilia.it/sites/default/files/2021-12/ordinanza%20n.107.pdf,107-30122021,Sì,Immagine,6,,,107,2021-12-30,59.14,41004,,arancione
Gualtieri Sicaminò,83035,Messina,2021-12-30,2022-01-05,https://www.regione.sicilia.it/sites/default/files/2021-12/ordinanza%20n.107.pdf,107-30122021,Sì,Immagine,6,,,107,2021-12-30,14.38,1657,,arancione
